docker compose -f docker-compose.dev.yaml logs --follow
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x07'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\xd1'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x08'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x1d'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x04'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\t'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
client1  | 2026/08/29 14:26:09 INFO action=record-response result=success agency-id=1 record-id=2 response="\xf3l\a\xd0\x05\n$m\x00\x00\x00!\x01\x0eTiago Nicolás\x06Rive"
server   | 2026/08/29 14:26:09 ERROR action=handle-client result=fail messages-amount=117
server   | 2026/08/29 14:26:09 ERROR action=server-run result=fail err=[Errno 104] Connection reset by peer
[Kclient1 exited with code 0
[Kserver exited with code 1
